date,category,subcategory,partner,amount (â‚¬),description
2024-01,Starting,Bank now,Partner1,4500,Balance at start
2024-01,Starting,Bank now,Partner2,3800,Balance at start
2024-01,Income,Salary,Partner1,3200,Salary January
2024-01,Income,Salary,Partner2,3000,Salary January
2024-01,Income,Others (one time income),Both,250,Refund
2024-01,Outcome,Rent,Both,-1200,Monthly rent
2024-01,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-01,House Bills,Supermarket,Both,-350,Grocery shopping
2024-01,,Hobbies & sports,Both,-50,Gym
2024-01,,Mobile phone,Both,-30,Mobile bills
2024-01,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-01,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-01,House Bills,Therapy,Partner1,-150,Therapy session
2024-01,House Bills,Therapy,Partner2,-140,Therapy session
2024-01,House Bills,Education,Partner1,-100,Hebrew course
2024-01,House Bills,Education,Partner2,-100,Hebrew course
2024-01,House Bills,Commute,Both,-120,Transport
2024-01,House Bills,Other expenses,Both,-90,Miscellaneous
2024-01,House Bills,Water,Both,-30,Monthly water bill
2024-01,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-01,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-01,House Bills,Building Fee,Both,-40,Maintenance fee
2024-01,House Bills,Internet,Both,-35,Monthly internet bill
2024-01,House Bills,TV,Both,-25,Cable or streaming
2024-01,House Bills,Netflix,Both,-10,Subscription
2024-01,House Bills,Spotify,Both,-10,Subscription
2024-01,House Bills,Google One,Both,-2,Cloud storage
2024-01,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-01,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-01,Put aside,Savings,Both,500,Money saved this month
2024-02,Starting,Bank now,Partner1,4500,Balance at start
2024-02,Starting,Bank now,Partner2,3800,Balance at start
2024-02,Income,Salary,Partner1,3200,Salary February
2024-02,Income,Salary,Partner2,3000,Salary February
2024-02,Income,Others (one time income),Both,250,Refund
2024-02,Outcome,Rent,Both,-1200,Monthly rent
2024-02,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-02,House Bills,Supermarket,Both,-350,Grocery shopping
2024-02,,Hobbies & sports,Both,-50,Gym
2024-02,,Mobile phone,Both,-30,Mobile bills
2024-02,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-02,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-02,House Bills,Therapy,Partner1,-150,Therapy session
2024-02,House Bills,Therapy,Partner2,-140,Therapy session
2024-02,House Bills,Education,Partner1,-100,Hebrew course
2024-02,House Bills,Education,Partner2,-100,Hebrew course
2024-02,House Bills,Commute,Both,-120,Transport
2024-02,House Bills,Other expenses,Both,-90,Miscellaneous
2024-02,House Bills,Water,Both,-30,Monthly water bill
2024-02,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-02,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-02,House Bills,Building Fee,Both,-40,Maintenance fee
2024-02,House Bills,Internet,Both,-35,Monthly internet bill
2024-02,House Bills,TV,Both,-25,Cable or streaming
2024-02,House Bills,Netflix,Both,-10,Subscription
2024-02,House Bills,Spotify,Both,-10,Subscription
2024-02,House Bills,Google One,Both,-2,Cloud storage
2024-02,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-02,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-02,Put aside,Savings,Both,500,Money saved this month
2024-03,Starting,Bank now,Partner1,4500,Balance at start
2024-03,Starting,Bank now,Partner2,3800,Balance at start
2024-03,Income,Salary,Partner1,3200,Salary March
2024-03,Income,Salary,Partner2,3000,Salary March
2024-03,Income,Others (one time income),Both,250,Refund
2024-03,Outcome,Rent,Both,-1200,Monthly rent
2024-03,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-03,House Bills,Supermarket,Both,-350,Grocery shopping
2024-03,,Hobbies & sports,Both,-50,Gym
2024-03,,Mobile phone,Both,-30,Mobile bills
2024-03,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-03,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-03,House Bills,Therapy,Partner1,-150,Therapy session
2024-03,House Bills,Therapy,Partner2,-140,Therapy session
2024-03,House Bills,Education,Partner1,-100,Hebrew course
2024-03,House Bills,Education,Partner2,-100,Hebrew course
2024-03,House Bills,Commute,Both,-120,Transport
2024-03,House Bills,Other expenses,Both,-90,Miscellaneous
2024-03,House Bills,Water,Both,-30,Monthly water bill
2024-03,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-03,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-03,House Bills,Building Fee,Both,-40,Maintenance fee
2024-03,House Bills,Internet,Both,-35,Monthly internet bill
2024-03,House Bills,TV,Both,-25,Cable or streaming
2024-03,House Bills,Netflix,Both,-10,Subscription
2024-03,House Bills,Spotify,Both,-10,Subscription
2024-03,House Bills,Google One,Both,-2,Cloud storage
2024-03,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-03,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-03,Put aside,Savings,Both,500,Money saved this month
2024-04,Starting,Bank now,Partner1,4500,Balance at start
2024-04,Starting,Bank now,Partner2,3800,Balance at start
2024-04,Income,Salary,Partner1,3200,Salary April
2024-04,Income,Salary,Partner2,3000,Salary April
2024-04,Income,Others (one time income),Both,250,Refund
2024-04,Outcome,Rent,Both,-1200,Monthly rent
2024-04,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-04,House Bills,Supermarket,Both,-350,Grocery shopping
2024-04,,Hobbies & sports,Both,-50,Gym
2024-04,,Mobile phone,Both,-30,Mobile bills
2024-04,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-04,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-04,House Bills,Therapy,Partner1,-150,Therapy session
2024-04,House Bills,Therapy,Partner2,-140,Therapy session
2024-04,House Bills,Education,Partner1,-100,Hebrew course
2024-04,House Bills,Education,Partner2,-100,Hebrew course
2024-04,House Bills,Commute,Both,-120,Transport
2024-04,House Bills,Other expenses,Both,-90,Miscellaneous
2024-04,House Bills,Water,Both,-30,Monthly water bill
2024-04,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-04,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-04,House Bills,Building Fee,Both,-40,Maintenance fee
2024-04,House Bills,Internet,Both,-35,Monthly internet bill
2024-04,House Bills,TV,Both,-25,Cable or streaming
2024-04,House Bills,Netflix,Both,-10,Subscription
2024-04,House Bills,Spotify,Both,-10,Subscription
2024-04,House Bills,Google One,Both,-2,Cloud storage
2024-04,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-04,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-04,Put aside,Savings,Both,500,Money saved this month
2024-05,Starting,Bank now,Partner1,4500,Balance at start
2024-05,Starting,Bank now,Partner2,3800,Balance at start
2024-05,Income,Salary,Partner1,3200,Salary May
2024-05,Income,Salary,Partner2,3000,Salary May
2024-05,Income,Others (one time income),Both,250,Refund
2024-05,Outcome,Rent,Both,-1200,Monthly rent
2024-05,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-05,House Bills,Supermarket,Both,-350,Grocery shopping
2024-05,,Hobbies & sports,Both,-50,Gym
2024-05,,Mobile phone,Both,-30,Mobile bills
2024-05,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-05,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-05,House Bills,Therapy,Partner1,-150,Therapy session
2024-05,House Bills,Therapy,Partner2,-140,Therapy session
2024-05,House Bills,Education,Partner1,-100,Hebrew course
2024-05,House Bills,Education,Partner2,-100,Hebrew course
2024-05,House Bills,Commute,Both,-120,Transport
2024-05,House Bills,Other expenses,Both,-90,Miscellaneous
2024-05,House Bills,Water,Both,-30,Monthly water bill
2024-05,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-05,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-05,House Bills,Building Fee,Both,-40,Maintenance fee
2024-05,House Bills,Internet,Both,-35,Monthly internet bill
2024-05,House Bills,TV,Both,-25,Cable or streaming
2024-05,House Bills,Netflix,Both,-10,Subscription
2024-05,House Bills,Spotify,Both,-10,Subscription
2024-05,House Bills,Google One,Both,-2,Cloud storage
2024-05,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-05,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-05,Put aside,Savings,Both,500,Money saved this month
2024-06,Starting,Bank now,Partner1,4500,Balance at start
2024-06,Starting,Bank now,Partner2,3800,Balance at start
2024-06,Income,Salary,Partner1,3200,Salary June
2024-06,Income,Salary,Partner2,3000,Salary June
2024-06,Income,Others (one time income),Both,250,Refund
2024-06,Outcome,Rent,Both,-1200,Monthly rent
2024-06,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-06,House Bills,Supermarket,Both,-350,Grocery shopping
2024-06,,Hobbies & sports,Both,-50,Gym
2024-06,,Mobile phone,Both,-30,Mobile bills
2024-06,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-06,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-06,House Bills,Therapy,Partner1,-150,Therapy session
2024-06,House Bills,Therapy,Partner2,-140,Therapy session
2024-06,House Bills,Education,Partner1,-100,Hebrew course
2024-06,House Bills,Education,Partner2,-100,Hebrew course
2024-06,House Bills,Commute,Both,-120,Transport
2024-06,House Bills,Other expenses,Both,-90,Miscellaneous
2024-06,House Bills,Water,Both,-30,Monthly water bill
2024-06,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-06,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-06,House Bills,Building Fee,Both,-40,Maintenance fee
2024-06,House Bills,Internet,Both,-35,Monthly internet bill
2024-06,House Bills,TV,Both,-25,Cable or streaming
2024-06,House Bills,Netflix,Both,-10,Subscription
2024-06,House Bills,Spotify,Both,-10,Subscription
2024-06,House Bills,Google One,Both,-2,Cloud storage
2024-06,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-06,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-06,Put aside,Savings,Both,500,Money saved this month
2024-07,Starting,Bank now,Partner1,4500,Balance at start
2024-07,Starting,Bank now,Partner2,3800,Balance at start
2024-07,Income,Salary,Partner1,3200,Salary July
2024-07,Income,Salary,Partner2,3000,Salary July
2024-07,Income,Others (one time income),Both,250,Refund
2024-07,Outcome,Rent,Both,-1200,Monthly rent
2024-07,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-07,House Bills,Supermarket,Both,-350,Grocery shopping
2024-07,,Hobbies & sports,Both,-50,Gym
2024-07,,Mobile phone,Both,-30,Mobile bills
2024-07,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-07,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-07,House Bills,Therapy,Partner1,-150,Therapy session
2024-07,House Bills,Therapy,Partner2,-140,Therapy session
2024-07,House Bills,Education,Partner1,-100,Hebrew course
2024-07,House Bills,Education,Partner2,-100,Hebrew course
2024-07,House Bills,Commute,Both,-120,Transport
2024-07,House Bills,Other expenses,Both,-90,Miscellaneous
2024-07,House Bills,Water,Both,-30,Monthly water bill
2024-07,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-07,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-07,House Bills,Building Fee,Both,-40,Maintenance fee
2024-07,House Bills,Internet,Both,-35,Monthly internet bill
2024-07,House Bills,TV,Both,-25,Cable or streaming
2024-07,House Bills,Netflix,Both,-10,Subscription
2024-07,House Bills,Spotify,Both,-10,Subscription
2024-07,House Bills,Google One,Both,-2,Cloud storage
2024-07,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-07,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-07,Put aside,Savings,Both,500,Money saved this month
2024-08,Starting,Bank now,Partner1,4500,Balance at start
2024-08,Starting,Bank now,Partner2,3800,Balance at start
2024-08,Income,Salary,Partner1,3200,Salary August
2024-08,Income,Salary,Partner2,3000,Salary August
2024-08,Income,Others (one time income),Both,250,Refund
2024-08,Outcome,Rent,Both,-1200,Monthly rent
2024-08,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-08,House Bills,Supermarket,Both,-350,Grocery shopping
2024-08,,Hobbies & sports,Both,-50,Gym
2024-08,,Mobile phone,Both,-30,Mobile bills
2024-08,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-08,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-08,House Bills,Therapy,Partner1,-150,Therapy session
2024-08,House Bills,Therapy,Partner2,-140,Therapy session
2024-08,House Bills,Education,Partner1,-100,Hebrew course
2024-08,House Bills,Education,Partner2,-100,Hebrew course
2024-08,House Bills,Commute,Both,-120,Transport
2024-08,House Bills,Other expenses,Both,-90,Miscellaneous
2024-08,House Bills,Water,Both,-30,Monthly water bill
2024-08,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-08,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-08,House Bills,Building Fee,Both,-40,Maintenance fee
2024-08,House Bills,Internet,Both,-35,Monthly internet bill
2024-08,House Bills,TV,Both,-25,Cable or streaming
2024-08,House Bills,Netflix,Both,-10,Subscription
2024-08,House Bills,Spotify,Both,-10,Subscription
2024-08,House Bills,Google One,Both,-2,Cloud storage
2024-08,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-08,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-08,Put aside,Savings,Both,500,Money saved this month
2024-09,Starting,Bank now,Partner1,4500,Balance at start
2024-09,Starting,Bank now,Partner2,3800,Balance at start
2024-09,Income,Salary,Partner1,3200,Salary September
2024-09,Income,Salary,Partner2,3000,Salary September
2024-09,Income,Others (one time income),Both,250,Refund
2024-09,Outcome,Rent,Both,-1200,Monthly rent
2024-09,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-09,House Bills,Supermarket,Both,-350,Grocery shopping
2024-09,,Hobbies & sports,Both,-50,Gym
2024-09,,Mobile phone,Both,-30,Mobile bills
2024-09,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-09,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-09,House Bills,Therapy,Partner1,-150,Therapy session
2024-09,House Bills,Therapy,Partner2,-140,Therapy session
2024-09,House Bills,Education,Partner1,-100,Hebrew course
2024-09,House Bills,Education,Partner2,-100,Hebrew course
2024-09,House Bills,Commute,Both,-120,Transport
2024-09,House Bills,Other expenses,Both,-90,Miscellaneous
2024-09,House Bills,Water,Both,-30,Monthly water bill
2024-09,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-09,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-09,House Bills,Building Fee,Both,-40,Maintenance fee
2024-09,House Bills,Internet,Both,-35,Monthly internet bill
2024-09,House Bills,TV,Both,-25,Cable or streaming
2024-09,House Bills,Netflix,Both,-10,Subscription
2024-09,House Bills,Spotify,Both,-10,Subscription
2024-09,House Bills,Google One,Both,-2,Cloud storage
2024-09,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-09,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-09,Put aside,Savings,Both,500,Money saved this month
2024-10,Starting,Bank now,Partner1,4500,Balance at start
2024-10,Starting,Bank now,Partner2,3800,Balance at start
2024-10,Income,Salary,Partner1,3200,Salary October
2024-10,Income,Salary,Partner2,3000,Salary October
2024-10,Income,Others (one time income),Both,250,Refund
2024-10,Outcome,Rent,Both,-1200,Monthly rent
2024-10,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-10,House Bills,Supermarket,Both,-350,Grocery shopping
2024-10,,Hobbies & sports,Both,-50,Gym
2024-10,,Mobile phone,Both,-30,Mobile bills
2024-10,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-10,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-10,House Bills,Therapy,Partner1,-150,Therapy session
2024-10,House Bills,Therapy,Partner2,-140,Therapy session
2024-10,House Bills,Education,Partner1,-100,Hebrew course
2024-10,House Bills,Education,Partner2,-100,Hebrew course
2024-10,House Bills,Commute,Both,-120,Transport
2024-10,House Bills,Other expenses,Both,-90,Miscellaneous
2024-10,House Bills,Water,Both,-30,Monthly water bill
2024-10,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-10,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-10,House Bills,Building Fee,Both,-40,Maintenance fee
2024-10,House Bills,Internet,Both,-35,Monthly internet bill
2024-10,House Bills,TV,Both,-25,Cable or streaming
2024-10,House Bills,Netflix,Both,-10,Subscription
2024-10,House Bills,Spotify,Both,-10,Subscription
2024-10,House Bills,Google One,Both,-2,Cloud storage
2024-10,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-10,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-10,Put aside,Savings,Both,500,Money saved this month
2024-11,Starting,Bank now,Partner1,4500,Balance at start
2024-11,Starting,Bank now,Partner2,3800,Balance at start
2024-11,Income,Salary,Partner1,3200,Salary November
2024-11,Income,Salary,Partner2,3000,Salary November
2024-11,Income,Others (one time income),Both,250,Refund
2024-11,Outcome,Rent,Both,-1200,Monthly rent
2024-11,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-11,House Bills,Supermarket,Both,-350,Grocery shopping
2024-11,,Hobbies & sports,Both,-50,Gym
2024-11,,Mobile phone,Both,-30,Mobile bills
2024-11,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-11,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-11,House Bills,Therapy,Partner1,-150,Therapy session
2024-11,House Bills,Therapy,Partner2,-140,Therapy session
2024-11,House Bills,Education,Partner1,-100,Hebrew course
2024-11,House Bills,Education,Partner2,-100,Hebrew course
2024-11,House Bills,Commute,Both,-120,Transport
2024-11,House Bills,Other expenses,Both,-90,Miscellaneous
2024-11,House Bills,Water,Both,-30,Monthly water bill
2024-11,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-11,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-11,House Bills,Building Fee,Both,-40,Maintenance fee
2024-11,House Bills,Internet,Both,-35,Monthly internet bill
2024-11,House Bills,TV,Both,-25,Cable or streaming
2024-11,House Bills,Netflix,Both,-10,Subscription
2024-11,House Bills,Spotify,Both,-10,Subscription
2024-11,House Bills,Google One,Both,-2,Cloud storage
2024-11,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-11,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-11,Put aside,Savings,Both,500,Money saved this month
2024-12,Starting,Bank now,Partner1,4500,Balance at start
2024-12,Starting,Bank now,Partner2,3800,Balance at start
2024-12,Income,Salary,Partner1,3200,Salary December
2024-12,Income,Salary,Partner2,3000,Salary December
2024-12,Income,Others (one time income),Both,250,Refund
2024-12,Outcome,Rent,Both,-1200,Monthly rent
2024-12,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-12,House Bills,Supermarket,Both,-350,Grocery shopping
2024-12,,Hobbies & sports,Both,-50,Gym
2024-12,,Mobile phone,Both,-30,Mobile bills
2024-12,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-12,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-12,House Bills,Therapy,Partner1,-150,Therapy session
2024-12,House Bills,Therapy,Partner2,-140,Therapy session
2024-12,House Bills,Education,Partner1,-100,Hebrew course
2024-12,House Bills,Education,Partner2,-100,Hebrew course
2024-12,House Bills,Commute,Both,-120,Transport
2024-12,House Bills,Other expenses,Both,-90,Miscellaneous
2024-12,House Bills,Water,Both,-30,Monthly water bill
2024-12,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-12,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-12,House Bills,Building Fee,Both,-40,Maintenance fee
2024-12,House Bills,Internet,Both,-35,Monthly internet bill
2024-12,House Bills,TV,Both,-25,Cable or streaming
2024-12,House Bills,Netflix,Both,-10,Subscription
2024-12,House Bills,Spotify,Both,-10,Subscription
2024-12,House Bills,Google One,Both,-2,Cloud storage
2024-12,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-12,Commute,Couple car rental,Both,-100,Weekend trip rental
